,,,players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Unnamed: 28_level_1
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Crystal Palace,26,42.3,38,21367,2349,7237,9279,5077,797,21363,737,341,46.3,320,43.4,10943,55546,26838,506,383,170,606,426,12811,1161,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,Everton,26,40.8,38,20053,2568,6792,8180,5283,809,20050,564,250,44.3,267,47.3,9770,52160,25904,495,389,127,560,320,11254,1119,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,Fulham,25,50.6,38,24318,2792,8619,10359,5568,849,24316,550,271,49.3,232,42.2,13883,72675,36777,670,508,151,520,325,16183,1452,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,Liverpool,30,61.3,38,28764,2193,7390,13756,7869,1422,28755,737,331,44.9,331,44.9,17894,92424,48244,924,694,295,574,407,20230,2091,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,Luton Town,28,42.4,38,19656,2630,7028,7906,4964,780,19651,771,354,45.9,331,42.9,10070,59990,29813,675,480,169,580,385,10911,1094,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,Manchester City,25,65.2,38,31414,2162,7012,14348,10260,1466,31404,731,377,51.6,282,38.6,20210,105397,58071,1127,867,415,441,356,24343,2032,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,Manchester Utd,31,50.6,38,23997,2938,8197,9856,6145,1025,23990,697,311,44.6,303,43.5,13976,75395,39607,759,523,275,484,342,15594,1467,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,Newcastle Utd,32,52.2,38,24004,2447,8084,10144,6004,1094,23996,730,355,48.6,288,39.5,13649,73443,36585,737,507,243,506,400,15994,1545,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,Nott'ham Forest,33,40.6,38,20118,2495,7340,8310,4686,785,20117,603,275,45.6,268,44.4,10216,54782,29231,604,396,156,527,286,11779,1122,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,Sheffield Utd,35,35.8,38,17940,2814,7150,7140,3830,646,17935,578,250,43.3,285,49.3,8313,43259,20339,343,287,127,489,323,9445,874,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,Tottenham,29,61.6,38,28529,2791,8519,12260,8011,1316,28527,812,359,44.2,363,44.7,18081,92767,46593,957,634,349,559,375,20481,2097,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,West Ham,26,41.1,38,20875,2605,7301,9100,4692,750,20869,745,353,47.4,321,43.1,11184,60658,28802,556,369,168,515,397,12459,1192,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,Wolves,27,48.9,38,23485,2823,8674,10262,4804,739,23481,823,415,50.4,324,39.4,13056,71348,36731,671,519,168,536,389,15350,1163,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
ENG-Premier League,2425,Arsenal,23,54.6,17,10461,894,2854,4507,3182,578,10459,336,144,42.9,147,43.8,5938,31344,16538,352,210,131,208,193,7221,759,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,23,50.1,17,9679,1109,3269,4161,2347,439,9677,308,140,45.5,126,40.9,5546,30519,16266,308,201,95,220,171,6550,583,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,25,45.0,17,9278,1011,2826,3910,2666,453,9272,303,125,41.3,142,46.9,5020,28750,15125,316,218,108,253,162,5352,679,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,Brentford,23,47.9,17,9963,1557,3956,3723,2366,387,9961,278,115,41.4,132,47.5,5469,29261,14638,258,172,80,247,145,6219,637,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,Brighton,28,53.4,17,10776,1247,3501,4727,2675,475,10776,377,152,40.3,191,50.7,6360,35555,19707,376,259,123,255,162,7257,729,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,24,57.6,17,11332,1040,3511,5062,2849,509,11329,375,161,42.9,161,42.9,6602,33936,18182,389,221,139,201,136,8070,676,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,25,43.4,17,9331,1143,3408,3934,2077,354,9330,209,85,40.7,104,49.8,4713,24158,12044,242,169,67,211,166,5518,551,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,24,39.0,16,7832,979,2761,3191,1986,310,7832,305,137,44.9,149,48.9,3794,20987,10239,218,157,61,198,175,4549,429,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,Fulham,25,51.2,17,10492,1182,3495,4278,2821,430,10490,301,135,44.9,122,40.5,6321,31843,16237,354,252,112,220,131,7024,689,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,28,42.9,17,8917,1297,3467,3555,1982,305,8917,270,128,47.4,116,43.0,4712,25895,12483,239,162,73,259,155,5456,445,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,25,46.6,17,9886,1328,3649,4444,1895,296,9884,341,140,41.1,168,49.3,5745,28035,13814,266,158,63,234,156,6193,505,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,23,56.4,16,10819,1061,3271,4877,2761,512,10815,266,128,48.1,117,44.0,6320,32130,16395,328,221,141,215,153,7641,695,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,Manchester City,22,62.3,17,12790,881,2720,5229,4936,683,12789,361,172,47.6,130,36.0,8124,46767,25823,569,393,212,190,187,9751,928,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,Manchester Utd,25,54.2,17,11240,1130,3910,4893,2537,401,11238,301,132,43.9,147,48.8,7033,35363,17480,291,211,108,208,153,7800,620,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,Newcastle Utd,22,50.5,17,10358,1118,3631,4228,2596,456,10356,308,131,42.5,133,43.2,6323,32847,15937,309,198,112,209,219,6858,674,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,Nott'ham Forest,23,40.6,17,8505,1066,2842,3334,2445,379,8503,292,132,45.2,111,38.0,4154,23303,12582,309,199,95,236,144,4873,477,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,Southampton,31,52.4,17,10909,1496,4209,4626,2154,340,10907,317,122,38.5,150,47.3,6156,32287,17013,316,205,83,189,155,7746,525,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,Tottenham,25,57.8,17,11382,1123,3561,4667,3265,539,11382,366,151,41.3,187,51.1,7237,40042,20523,424,292,125,234,181,7829,822,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,West Ham,25,46.9,17,9822,1265,3463,4184,2281,422,9819,374,166,44.4,161,43.0,4978,26206,13590,301,185,96,219,195,6079,579,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,Wolves,24,46.6,17,9484,1263,3562,4180,1855,324,9484,322,151,46.9,126,39.1,5064,28711,14529,242,187,77,239,151,5959,488,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
