,,,players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,vs Fulham,28,26.8,38,3420,90,100,38,418,84,,105,18,161,2.18,81,34,47,1.24,68.2,41.3,26.8,0.71,/en/squads/fd962109/2018-2019/Fulham-Stats
ENG-Premier League,1819,vs Huddersfield,31,26.5,38,3420,90,100,38,418,84,,111,21,155,2.39,76,22,54,1.42,60.9,28.8,32.2,0.85,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
ENG-Premier League,1819,vs Leicester City,25,26.8,38,3420,90,100,38,418,85,,108,18,158,1.45,48,51,-3,-0.08,43.7,52.4,-8.7,-0.23,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
ENG-Premier League,1819,vs Liverpool,23,26.9,38,3420,90,100,38,418,86,,109,18,157,0.26,22,89,-67,-1.76,28.8,73.7,-44.9,-1.18,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
ENG-Premier League,1819,vs Manchester City,21,26.6,38,3420,90,100,38,418,86,,107,21,159,0.37,23,95,-72,-1.89,24.7,84.3,-59.6,-1.57,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
ENG-Premier League,1819,vs Manchester Utd,28,26.9,38,3420,90,100,38,418,85,,106,19,160,1.03,54,65,-11,-0.29,50.6,61.4,-10.8,-0.29,/en/squads/19538871/2018-2019/Manchester-United-Stats
ENG-Premier League,1819,vs Newcastle Utd,24,26.8,38,3420,90,100,38,418,86,,108,22,158,1.58,48,42,6,0.16,53.6,39.1,14.5,0.38,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
ENG-Premier League,1819,vs Southampton,30,26.7,38,3420,90,100,38,418,85,,106,21,159,1.66,65,45,20,0.53,55.1,46.9,8.2,0.22,/en/squads/33c895d4/2018-2019/Southampton-Stats
ENG-Premier League,1819,vs Tottenham,28,26.7,38,3420,90,100,38,418,86,,107,20,159,1.08,39,67,-28,-0.74,47.1,54.9,-7.8,-0.2,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
ENG-Premier League,1819,vs Watford,25,26.8,38,3420,90,100,38,418,85,,105,22,161,1.47,59,52,7,0.18,59.2,48.2,11.0,0.29,/en/squads/2abfe087/2018-2019/Watford-Stats
ENG-Premier League,1819,vs West Ham,26,26.7,38,3420,90,100,38,418,84,,107,19,159,1.45,55,52,3,0.08,61.9,47.6,14.3,0.38,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
ENG-Premier League,1819,vs Wolves,21,26.8,38,3420,90,100,38,418,85,,100,21,166,1.26,46,47,-1,-0.03,42.1,52.1,-10.1,-0.26,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
ENG-Premier League,1920,vs Arsenal,29,26.6,38,3420,90,100,38,418,83,,110,20,176,1.16,48,56,-8,-0.21,55.3,47.0,8.3,0.22,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
ENG-Premier League,1920,vs Aston Villa,28,26.6,38,3420,90,100,38,418,84,,118,19,168,1.87,67,41,26,0.68,67.8,44.3,23.5,0.62,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
ENG-Premier League,1920,vs Bournemouth,27,26.8,38,3420,90,100,38,418,84,,117,21,167,1.92,65,40,25,0.66,62.3,44.8,17.5,0.46,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
ENG-Premier League,1920,vs Brighton,25,26.5,38,3420,90,100,38,418,84,,115,21,169,1.55,54,39,15,0.39,55.0,45.4,9.5,0.25,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1920,vs Burnley,22,26.5,38,3420,90,100,38,418,86,,110,21,173,1.34,50,43,7,0.18,49.8,47.4,2.4,0.06,/en/squads/943e8050/2019-2020/Burnley-Stats
ENG-Premier League,1920,vs Chelsea,27,26.4,38,3420,90,100,38,418,84,,115,21,169,1.11,54,69,-15,-0.39,38.6,69.2,-30.6,-0.81,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
ENG-Premier League,1920,vs Crystal Palace,25,26.5,38,3420,90,100,38,418,85,,111,20,170,1.61,50,31,19,0.5,57.0,35.8,21.2,0.56,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
ENG-Premier League,1920,vs Everton,24,26.6,38,3420,90,100,38,418,83,,111,19,173,1.45,56,44,12,0.32,48.3,50.8,-2.5,-0.07,/en/squads/d3fd31cc/2019-2020/Everton-Stats
ENG-Premier League,1920,vs Leicester City,24,26.6,38,3420,90,100,38,418,84,,116,20,168,1.16,41,67,-26,-0.68,45.5,62.2,-16.7,-0.44,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
ENG-Premier League,1920,vs Liverpool,24,26.3,38,3420,90,100,38,418,85,,109,22,174,0.32,33,85,-52,-1.37,37.7,68.9,-31.2,-0.82,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
ENG-Premier League,1920,vs Manchester City,24,26.5,38,3420,90,100,38,418,83,,119,20,164,0.79,35,102,-67,-1.76,36.2,92.0,-55.7,-1.47,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
ENG-Premier League,1920,vs Manchester Utd,29,26.7,38,3420,90,100,38,418,85,,113,22,171,0.95,36,66,-30,-0.79,37.7,62.2,-24.5,-0.64,/en/squads/19538871/2019-2020/Manchester-United-Stats
ENG-Premier League,1920,vs Newcastle Utd,28,26.5,38,3420,90,100,38,418,84,,108,18,176,1.55,58,38,20,0.53,65.6,35.5,30.1,0.79,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
ENG-Premier League,1920,vs Norwich City,30,26.5,38,3420,90,100,38,418,85,,119,19,164,2.29,75,26,49,1.29,66.5,37.0,29.5,0.78,/en/squads/1c781004/2019-2020/Norwich-City-Stats
ENG-Premier League,1920,vs Sheffield Utd,26,26.7,38,3420,90,100,38,418,84,,110,18,175,1.26,39,39,0,0.0,51.0,43.0,7.9,0.21,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
ENG-Premier League,1920,vs Southampton,25,26.5,38,3420,90,100,38,418,85,,113,21,170,1.45,60,51,9,0.24,52.8,56.1,-3.3,-0.09,/en/squads/33c895d4/2019-2020/Southampton-Stats
ENG-Premier League,1920,vs Tottenham,29,26.7,38,3420,90,100,38,418,85,,106,17,175,1.16,47,61,-14,-0.37,54.2,47.9,6.3,0.17,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
ENG-Premier League,1920,vs Watford,26,26.5,38,3420,90,100,38,418,84,,105,21,179,1.84,64,36,28,0.74,58.1,48.9,9.3,0.24,/en/squads/2abfe087/2019-2020/Watford-Stats
ENG-Premier League,1920,vs West Ham,29,26.6,38,3420,90,100,38,418,85,,113,19,171,1.74,62,49,13,0.34,63.8,48.6,15.2,0.4,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
ENG-Premier League,1920,vs Wolves,21,26.5,38,3420,90,100,38,418,86,,116,22,167,1.08,40,51,-11,-0.29,38.0,54.1,-16.1,-0.42,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
ENG-Premier League,2021,vs Arsenal,29,26.7,38,3420,90,100,38,418,84,320,100,21,215,1.21,39,55,-16,-0.42,43.0,51.8,-8.8,-0.23,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,vs Aston Villa,24,26.7,38,3420,90,100,38,418,86,309,103,21,216,1.37,46,55,-9,-0.24,51.1,52.5,-1.4,-0.04,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,vs Brighton,27,26.4,38,3420,90,100,38,418,85,318,99,23,215,1.55,46,40,6,0.16,35.3,50.9,-15.6,-0.41,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,vs Burnley,25,26.6,38,3420,90,100,38,418,86,317,99,19,215,1.74,55,33,22,0.58,54.7,39.3,15.4,0.4,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,vs Chelsea,27,26.3,38,3420,90,100,38,418,84,314,104,19,206,0.97,36,58,-22,-0.58,30.3,62.4,-32.1,-0.85,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,vs Crystal Palace,24,26.4,38,3420,90,100,38,418,86,315,101,18,212,1.63,66,41,25,0.66,58.2,34.1,24.2,0.64,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
ENG-Premier League,2021,vs Everton,29,26.4,38,3420,90,100,38,418,85,317,100,19,215,1.24,48,47,1,0.03,50.1,45.7,4.5,0.12,/en/squads/d3fd31cc/2020-2021/Everton-Stats
ENG-Premier League,2021,vs Fulham,28,26.6,38,3420,90,100,38,418,85,319,99,21,216,1.92,53,27,26,0.68,52.6,40.5,12.1,0.32,/en/squads/fd962109/2020-2021/Fulham-Stats
ENG-Premier League,2021,vs Leeds United,23,26.5,38,3420,90,100,38,418,83,311,107,20,203,1.32,54,62,-8,-0.21,57.9,55.6,2.2,0.06,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
ENG-Premier League,2021,vs Leicester City,27,26.5,38,3420,90,100,38,418,85,314,103,21,213,1.11,50,68,-18,-0.47,46.0,55.8,-9.8,-0.26,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
ENG-Premier League,2021,vs Liverpool,28,26.6,38,3420,90,100,38,418,85,315,103,19,210,0.95,42,68,-26,-0.68,43.0,67.5,-24.5,-0.65,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
ENG-Premier League,2021,vs Manchester City,24,26.4,38,3420,90,100,38,418,86,309,107,22,206,0.61,32,83,-51,-1.34,30.2,68.2,-38.0,-1.0,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
ENG-Premier League,2021,vs Manchester Utd,29,26.6,38,3420,90,100,38,418,86,316,100,19,213,0.76,44,73,-29,-0.76,41.4,60.1,-18.6,-0.49,/en/squads/19538871/2020-2021/Manchester-United-Stats
ENG-Premier League,2021,vs Newcastle Utd,27,26.6,38,3420,90,100,38,418,85,316,99,18,211,1.58,62,46,16,0.42,58.3,43.4,14.9,0.39,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
ENG-Premier League,2021,vs Sheffield Utd,27,26.7,38,3420,90,100,38,418,83,319,99,18,216,2.34,63,20,43,1.13,62.2,32.6,29.6,0.78,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
ENG-Premier League,2021,vs Southampton,29,26.5,38,3420,90,100,38,418,85,315,100,22,216,1.68,68,47,21,0.55,53.1,41.2,11.8,0.31,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,vs Tottenham,24,26.5,38,3420,90,100,38,418,85,313,104,18,210,1.16,45,68,-23,-0.61,49.1,53.1,-4.0,-0.1,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,vs West Brom,30,26.6,38,3420,90,100,38,418,84,317,100,20,215,2.03,76,35,41,1.08,67.9,35.8,32.0,0.84,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
ENG-Premier League,2021,vs West Ham,24,26.6,38,3420,90,100,38,418,86,312,105,21,211,1.08,47,62,-15,-0.39,48.7,55.4,-6.7,-0.18,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
ENG-Premier League,2021,vs Wolves,27,26.6,38,3420,90,100,38,418,85,311,101,19,215,1.58,52,36,16,0.42,49.5,36.5,13.0,0.34,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
ENG-Premier League,2122,vs Arsenal,27,26.9,38,3420,90,100,38,418,85,309,107,21,235,1.11,48,61,-13,-0.34,45.7,60.5,-14.9,-0.39,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
ENG-Premier League,2122,vs Aston Villa,31,26.7,38,3420,90,100,38,418,85,311,108,20,232,1.66,54,52,2,0.05,49.0,44.0,4.9,0.13,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,vs Brentford,29,26.8,38,3420,90,100,38,418,84,326,90,19,250,1.61,56,48,8,0.21,48.5,45.8,2.7,0.07,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,vs Brighton,26,26.9,38,3420,90,100,38,418,84,311,108,20,231,1.26,44,42,2,0.05,42.9,46.2,-3.3,-0.09,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,vs Burnley,23,26.7,38,3420,90,100,38,418,86,322,96,18,245,1.71,53,34,19,0.5,57.1,39.7,17.4,0.46,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,vs Chelsea,26,26.7,38,3420,90,100,38,418,84,305,109,20,230,0.76,33,76,-43,-1.13,33.2,63.4,-30.1,-0.79,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
ENG-Premier League,2122,vs Crystal Palace,24,26.8,38,3420,90,100,38,418,85,310,106,21,235,1.34,46,50,-4,-0.11,40.7,46.4,-5.7,-0.15,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,vs Everton,33,26.8,38,3420,90,100,38,418,85,308,111,19,230,1.82,66,43,23,0.61,55.4,41.2,14.2,0.37,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,vs Leeds United,29,26.9,38,3420,90,100,38,418,82,302,114,17,228,1.71,79,42,37,0.97,67.8,44.4,23.5,0.62,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,vs Leicester City,28,26.8,38,3420,90,100,38,418,84,310,108,21,233,1.37,59,62,-3,-0.08,59.3,47.8,11.5,0.3,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,vs Liverpool,27,26.7,38,3420,90,100,38,418,85,311,107,23,235,0.37,26,94,-68,-1.79,33.8,88.7,-54.9,-1.45,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,vs Manchester City,26,26.9,38,3420,90,100,38,418,86,304,111,23,227,0.39,26,99,-73,-1.92,24.6,88.7,-64.0,-1.68,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,vs Manchester Utd,29,27.0,38,3420,90,100,38,418,85,314,103,19,236,1.21,57,57,0,0.0,53.0,55.8,-2.8,-0.07,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,vs Newcastle Utd,29,26.8,38,3420,90,100,38,418,85,306,109,21,233,1.45,62,44,18,0.47,57.1,38.1,19.0,0.5,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,vs Norwich City,28,26.8,38,3420,90,100,38,418,84,307,110,21,228,2.24,84,23,61,1.61,75.5,32.3,43.2,1.14,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,vs Southampton,25,26.8,38,3420,90,100,38,418,85,308,109,19,233,1.61,67,43,24,0.63,60.0,44.8,15.2,0.4,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,vs Tottenham,25,26.8,38,3420,90,100,38,418,85,309,105,18,235,1.0,40,69,-29,-0.76,39.3,61.2,-21.9,-0.58,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,vs Watford,30,26.8,38,3420,90,100,38,418,84,315,103,19,238,2.26,77,34,43,1.13,64.5,40.0,24.5,0.64,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,vs West Ham,25,26.8,38,3420,90,100,38,418,86,316,100,21,237,1.32,51,60,-9,-0.24,53.5,51.4,2.1,0.06,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
ENG-Premier League,2122,vs Wolves,26,26.7,38,3420,90,100,38,418,86,306,111,23,226,1.5,43,38,5,0.13,56.9,37.5,19.4,0.51,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,vs Arsenal,26,26.7,38,3420,90,100,38,418,85,275,142,19,199,0.63,43,88,-45,-1.18,42.0,71.9,-29.9,-0.79,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,vs Aston Villa,26,26.5,38,3420,90,100,38,418,83,255,161,20,181,1.21,46,51,-5,-0.13,52.5,50.2,2.2,0.06,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,vs Bournemouth,31,26.6,38,3420,90,100,38,418,84,264,156,21,184,1.82,71,37,34,0.89,63.9,38.6,25.3,0.67,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,vs Brentford,25,26.6,38,3420,90,100,38,418,82,284,134,21,208,1.08,46,58,-12,-0.32,49.9,56.8,-6.8,-0.18,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,vs Brighton,29,26.5,38,3420,90,100,38,418,83,268,150,20,191,1.16,53,72,-19,-0.5,50.2,73.3,-23.1,-0.61,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,vs Chelsea,32,26.6,38,3420,90,100,38,418,81,269,148,19,190,1.55,47,38,9,0.24,52.5,49.5,3.0,0.08,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,vs Crystal Palace,26,26.6,38,3420,90,100,38,418,84,267,149,18,192,1.5,49,40,9,0.24,48.1,39.3,8.8,0.23,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,vs Everton,28,26.5,38,3420,90,100,38,418,84,268,152,18,190,1.74,57,34,23,0.61,65.7,45.2,20.5,0.54,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,vs Fulham,29,26.7,38,3420,90,100,38,418,84,269,144,20,196,1.45,53,55,-2,-0.05,63.8,46.2,17.6,0.46,/en/squads/fd962109/2022-2023/Fulham-Stats
ENG-Premier League,2223,vs Leeds United,29,26.7,38,3420,90,100,38,418,82,274,143,18,198,1.92,78,48,30,0.79,67.2,47.4,19.8,0.52,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,vs Leicester City,28,26.6,38,3420,90,100,38,418,82,271,146,22,196,1.92,68,51,17,0.45,63.4,50.6,12.8,0.34,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,vs Liverpool,28,26.6,38,3420,90,100,38,418,82,275,144,18,197,0.97,47,75,-28,-0.74,50.9,72.6,-21.7,-0.57,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,vs Manchester City,24,26.6,38,3420,90,100,38,418,84,252,165,21,175,0.53,33,94,-61,-1.61,32.1,78.6,-46.5,-1.22,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,vs Manchester Utd,26,26.4,38,3420,90,100,38,418,83,265,153,19,189,0.87,43,58,-15,-0.39,50.4,67.7,-17.3,-0.45,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,vs Newcastle Utd,27,26.8,38,3420,90,100,38,418,84,270,146,23,196,0.76,33,68,-35,-0.92,39.6,72.0,-32.4,-0.85,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,vs Nott'ham Forest,33,26.8,38,3420,90,100,38,418,82,276,142,18,199,1.71,68,38,30,0.79,64.2,39.3,24.9,0.66,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,vs Southampton,36,26.7,38,3420,90,100,38,418,81,265,154,19,187,2.16,73,36,37,0.97,61.0,37.7,23.3,0.61,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,vs Tottenham,29,26.7,38,3420,90,100,38,418,85,268,149,18,193,1.26,63,70,-7,-0.18,49.7,57.1,-7.4,-0.2,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,vs West Ham,25,26.6,38,3420,90,100,38,418,84,270,148,20,193,1.76,55,42,13,0.34,53.0,49.2,3.9,0.1,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,vs Wolves,32,26.4,38,3420,90,100,38,418,80,260,159,18,183,1.71,58,31,27,0.71,59.9,36.8,23.1,0.61,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
